census_tract,rank,lat,lon
22051028100,94,29.972472,-90.25935641
1073000100,95,33.5788455,-86.72645706
48113011200,96,32.664167,-96.8143307
26163544100,97,42.392746,-83.26848603
12086010001,98,25.9664275,-80.27090418
48201530500,99,29.8381695,-95.39550856
22071014000,100,29.9447815,-90.08265332
22019001400,101,30.2722025,-93.16277011
48201253000,102,29.81996,-95.01743208
1073000400,103,33.56468,-86.76308303
1073010100,104,33.4167805,-86.951714
1073001400,105,33.5281765,-86.83306966
48201211200,106,29.797844,-95.32049103
48113010101,107,32.7882765,-96.85026495
22071007605,108,29.9715395,-90.11358158
6039000900,109,36.956129,-120.0464243
29095015500,110,39.1217375,-94.51657428
48113003400,111,32.7601225,-96.77919001
48201330303,112,29.627022,-95.49988016
22071004800,113,29.9595875,-90.07361284
48201220500,114,29.832458,-95.37993744
48201433100,115,29.697275,-95.55470437
48113020200,116,32.691679,-96.72151931
28067950600,117,31.6586015,-89.16714864
28121020701,118,32.2743285,-90.14747926
5033020502,119,35.442764,-94.32515606
47157021710,120,35.0719705,-89.86958068
47037013601,121,36.1675085,-86.81826092
22071000601,122,29.932524,-90.04101454
48201313600,123,29.6916775,-95.35755578
29095016300,124,39.0521875,-94.50543506
48209010303,125,29.9087595,-97.87979138
48113010602,126,32.7721355,-96.91515061
48201232100,127,29.9057245,-95.30583257
1073002303,128,33.5389145,-86.72908427
48201423100,129,29.667494,-95.54758596
48113012208,130,32.7989125,-96.72266611
5119002600,131,34.7508725,-92.2366752
39035196100,132,41.435408,-81.64958917
48113010904,133,32.672624,-96.87155308
48113002500,134,32.7848165,-96.74867488
42011002500,135,40.3331045,-75.93519555
48113004000,136,32.744112,-96.76444947
39017014600,137,39.410567,-84.55542216
40143009008,138,36.097387,-95.85089884
6071004510,139,34.1894355,-117.3207455
22071007000,140,29.959714,-90.10083989
45079011701,141,33.945333,-81.00778183
5115951400,142,35.3046145,-93.15442534
22055001300,143,30.2257795,-91.97298917
6019000700,144,36.735739,-119.8286346
48201334100,145,29.650029,-95.41706578
6007001100,146,39.713771,-121.8501672
47065001600,147,35.038202,-85.32376592
48201211700,148,29.798255,-95.30402073
17031823603,149,41.651447,-87.69208139
22071001735,150,30.0250915,-90.0011199
