city,rank,lat,lon,description
Little Rock,97,34.7256,-92.3576,"Ranks highly in: Building_Loss_Rate: 95%, Agricultural_Loss_Rate: 94%, PM25: 94%"
Worcester,98,42.2705,-71.8079,"Ranks highly in: Agricultural_Loss_Rate: 97%, Asthma: 96%, Traffic_Proximity: 94%"
Bakersfield,99,35.3529,-119.0359,"Ranks highly in: PM25: 95%, Asthma: 94%, Traffic_Proximity: 93%"
Columbia,100,34.0376,-80.9037,"Ranks highly in: Agricultural_Loss_Rate: 98%, Building_Loss_Rate: 98%, Asthma: 97%"
Denton,101,33.2176,-97.1419,"Ranks highly in: Building_Loss_Rate: 96%, PM25: 95%, Diesel_Particulate: 94%"
Bowling Green,102,36.9719,-86.4373,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 96%, Asthma: 93%"
Toledo,103,41.6639,-83.5822,"Ranks highly in: Asthma: 94%, Household_Income: 93%, Diesel_Particulate: 93%"
Springfield,104,37.1943,-93.2916,"Ranks highly in: Agricultural_Loss_Rate: 99%, Asthma: 98%, Building_Loss_Rate: 98%"
Providence,105,41.823,-71.4187,"Ranks highly in: Asthma: 96%, Traffic_Proximity: 94%, Household_Income: 93%"
Mobile,106,30.6783,-88.1162,"Ranks highly in: Building_Loss_Rate: 95%, PM25: 92%, Diesel_Particulate: 92%"
Fort Wayne,107,41.0886,-85.1437,"Ranks highly in: Asthma: 93%, Building_Loss_Rate: 92%, Agricultural_Loss_Rate: 92%"
St. Paul,108,44.9477,-93.104,"Ranks highly in: Household_Income: 94%, Building_Loss_Rate: 93%, Diesel_Particulate: 93%"
West Chester,109,39.9601,-75.6058,"Ranks highly in: Agricultural_Loss_Rate: 97%, PM25: 94%, Diesel_Particulate: 91%"
Port Huron,110,42.9822,-82.4387,"Ranks highly in: Asthma: 93%, Agricultural_Loss_Rate: 93%, Building_Loss_Rate: 93%"
Winston-Salem,111,36.1029,-80.2611,"Ranks highly in: Agricultural_Loss_Rate: 96%, Building_Loss_Rate: 94%, PM25: 92%"
Wilmington,112,39.7415,-75.5413,"Ranks highly in: Traffic_Proximity: 94%, Building_Loss_Rate: 94%, Household_Income: 94%"
Flint,113,43.0235,-83.6922,"Ranks highly in: Asthma: 96%, Household_Income: 93%, Building_Loss_Rate: 92%"
Wichita,114,37.6896,-97.3442,"Ranks highly in: Building_Loss_Rate: 95%, Asthma: 93%, Household_Income: 92%"
Daly City,115,37.6862,-122.4685,"Ranks highly in: PM25: 95%, Traffic_Proximity: 95%, Diesel_Particulate: 90%"
Moorhead,116,46.8673,-96.7461,"Ranks highly in: Agricultural_Loss_Rate: 95%, Building_Loss_Rate: 95%, Household_Income: 92%"
Kennewick,117,46.1978,-119.1732,"Ranks highly in: Agricultural_Loss_Rate: 96%, PM25: 93%, Asthma: 93%"
McAllen,118,26.2273,-98.2471,"Ranks highly in: Agricultural_Loss_Rate: 95%, PM25: 94%, Building_Loss_Rate: 94%"
New Bedford,119,41.6697,-70.9428,"Ranks highly in: Asthma: 95%, Traffic_Proximity: 93%, Agricultural_Loss_Rate: 92%"
Round Rock,120,30.5254,-97.666,"Ranks highly in: Agricultural_Loss_Rate: 94%, PM25: 94%, Building_Loss_Rate: 92%"
Zephyrhills,121,28.2408,-82.1796,"Ranks highly in: Agricultural_Loss_Rate: 93%, Household_Income: 92%, Building_Loss_Rate: 92%"
Marysville,122,48.0809,-122.1561,"Ranks highly in: Asthma: 95%, Diesel_Particulate: 94%, Traffic_Proximity: 92%"
Peachtree Corners,123,33.967,-84.2319,"Ranks highly in: PM25: 94%, Diesel_Particulate: 92%, Agricultural_Loss_Rate: 91%"
